user_id,sexo,comentario,fecha_nacimiento
1,Mujer,"Me encanta la ficción literaria con profundidad emocional e histórica, como 'La sombra del viento' o 'The Book Thief'.",08/02/1980
2,Hombre,"Disfruto la no ficción que me hace pensar, como 'The Tipping Point', y clásicos aventureros como 'On the Road'.",02/04/1990
3,Hombre,Prefiero clásicos oscuros como 'Slaughterhouse-Five' y exploraciones filosóficas como 'Ishmael'.,09/11/1993
4,Prefiere no responder,Me gustan las historias emocionantes como 'Life of Pi' y releer Harry Potter por nostalgia.,12/04/2000
5,Prefiere no responder,Adoro los thrillers intensos como 'Brilliance' y la ficción literaria intrigante como 'Night Film'.,20/02/1987
6,Mujer,Me apasionan las memorias profundas como 'The Immortal Life' y la ficción reflexiva como 'Gilead'.,06/04/1977
7,Mujer,Disfruto la ficción literaria conmovedora como 'The Kite Runner' y exploraciones familiares como 'The Corrections'.,24/04/1983
8,Mujer,Amo los clásicos atemporales como 'Cien años de soledad' y las historias intensas como 'Beloved'.,17/02/1975
9,Mujer,Me atraen las novelas literarias modernas como 'The Goldfinch' y misterios como 'The Alienist'.,04/10/1989
10,Mujer,"Disfruto una mezcla ecléctica: ficción literaria como 'Atonement', clásicos como 'Pride and Prejudice', y thrillers como 'The Da Vinci Code'.",25/10/1991
11,Hombre,Me gustan las historias emotivas como 'The Kite Runner' y la no ficción histórica como 'John Adams' o 'Einstein'.,19/09/1985
12,Hombre,Prefiero thrillers llenos de suspense como 'Killing Floor' y clásicos emotivos como 'To Kill a Mockingbird'.,17/01/1990
13,Mujer,Amo la ficción literaria profunda como 'The Goldfinch' y reflexiones sociales como 'The Tipping Point'.,23/07/1987
14,Hombre,"Disfruto la ciencia ficción como 'Ender's Game', thrillers oscuros como 'The Road', y crónicas culturales como 'Kitchen Confidential'.",11/02/1993
15,Prefiere no responder,"Me encantan las aventuras juveniles como 'Harry Potter', la ficción reflexiva como 'The Handmaid's Tale', y lo curioso de 'Freakonomics'.",22/09/1997
16,Mujer,Prefiero clásicos profundos como 'Anna Karenina' y exploraciones filosóficas como 'Thus Spoke Zarathustra'.,21/07/1980
17,Hombre,Adoro los thrillers rápidos como 'The Firm' y la no ficción sobre comportamiento como 'Blink' o 'Outliers'.,15/11/1988
18,Mujer,"Me gustan las sátiras como 'Slaughterhouse-Five', el humor de 'Me Talk Pretty One Day', y memorias como 'Just Kids'.",14/08/1992
19,Hombre,"Disfruto la ficción literaria compleja como 'Atonement', clásicos como 'Don Quijote', y reflexiones oscuras como 'The Road'.",20/01/1983
20,Mujer,"Disfruto una mezcla de thrillers emocionantes como los de James Patterson, romances conmovedores de Nicholas Sparks y no ficción práctica como 'The Total Money Makeover'.",02/12/1989
21,Prefiere no responder,"Me apasionan los clásicos profundos como 'Cien años de soledad', la filosofía de Nietzsche y las aventuras mágicas de Harry Potter.",10/06/1996
22,Hombre,"Prefiero la ciencia ficción intensa como 'Snow Crash', el terror de Stephen King y las épicas fantásticas de Robin Hobb.",26/06/1991
23,Mujer,"Amo las historias contemporáneas emotivas como 'The Nightingale', thrillers modernos como 'The Girl on the Train' y memorias como 'The Glass Castle'.",13/01/1994
24,Hombre,"Disfruto la ficción literaria como 'The Corrections', los clásicos de Hemingway y no ficción histórica como 'Theodore Rex'.",14/03/1983
25,Mujer,"Me encantan las historias poéticas y reflexivas como 'Cien años de soledad', los cuentos de Shel Silverstein y las narrativas introspectivas de Paulo Coelho.",12/04/1992
26,Hombre,"Prefiero obras oscuras y profundas como 'The Road', relatos introspectivos de Murakami y no ficción curiosa como los libros de Mary Roach.",21/08/1987
27,Mujer,"Disfruto la ficción moderna como 'The Night Circus', ensayos humorísticos como 'Bossypants' y thrillers psicológicos como 'Gone Girl'.",03/04/1995
28,Hombre,"Me gustan los clásicos como 'To Kill a Mockingbird', thrillers de James Patterson y memorias intensas como 'A Million Little Pieces'.",27/11/1990
29,Mujer,"Amo los clásicos literarios como 'The Odyssey', dramas profundos como 'The Crucible' y narrativas históricas como 'The Good Earth'.",17/04/1985
30,Hombre,"Me gustan las historias épicas como 'The Hunger Games', clásicos introspectivos como 'The Catcher in the Rye' y narrativas emotivas como 'The Kite Runner'.",10/05/1993
31,Prefiere no responder,"Disfruto las aventuras de 'Harry Potter', distopías como 'Nineteen Eighty-Four' y fábulas políticas como 'Animal Farm'.",09/02/1997
32,Hombre,"Amo la fantasía épica de 'The Hobbit', clásicos como 'The Great Gatsby' y aventuras modernas como 'The Hunger Games'.",01/09/1990
33,Mujer,"Prefiero historias juveniles emotivas como 'The Fault in Our Stars', fantasías como 'A Game of Thrones' y thrillers actuales como 'The Girl on the Train'.",13/04/1998
34,Mujer,"Me apasionan los clásicos románticos como 'Pride and Prejudice', distopías como 'Nineteen Eighty-Four' y cuentos infantiles como 'Charlotte's Web'.",07/04/1987
35,Mujer,"Disfruto clásicos como 'Romeo and Juliet', historias mágicas como 'The Lion, the Witch and the Wardrobe' y narrativas históricas como 'The Book Thief'.",09/01/1991
36,Prefiere no responder,"Me gustan las distopías como 'The Hunger Games', romances juveniles como 'Twilight' y clásicos morales como 'To Kill a Mockingbird'.",01/04/1996
37,Hombre,"Amo la trilogía de 'The Hunger Games', distopías juveniles como 'The Giver' y fantasías épicas como 'A Game of Thrones'.",21/01/1999
38,Mujer,"Prefiero las aventuras de 'Harry Potter', romances clásicos como 'Pride and Prejudice' y sátiras como 'Animal Farm'.",18/05/1992
39,Hombre,"Disfruto la acción de 'The Hunger Games', thrillers como 'Gone Girl' y humor sci-fi como 'The Hitchhiker's Guide to the Galaxy'.",25/04/1994
40,Mujer,"Me encantan las distopías como 'The Hunger Games', clásicos como 'To Kill a Mockingbird' y romances juveniles como 'The Fault in Our Stars'.",20/11/1995
41,Hombre,"Amo las distopías como la trilogía de 'The Hunger Games', thrillers como 'Män som hatar kvinnor' y dramas históricos como 'The Help'.",27/02/1996
42,Prefiere no responder,"Disfruto clásicos introspectivos como 'The Catcher in the Rye', fábulas como 'Animal Farm' y cuentos espirituales como 'O Alquimista'.",26/11/1990
43,Mujer,"Me gustan las distopías de 'The Hunger Games', clásicos morales como 'To Kill a Mockingbird' y narrativas emotivas como 'The Kite Runner'.",10/07/1993
44,Mujer,"Prefiero las aventuras de 'Harry Potter', romances clásicos como 'Pride and Prejudice' y thrillers como 'Angels & Demons'.",09/10/1991
45,Hombre,"Disfruto distopías como 'The Hunger Games', clásicos como 'The Catcher in the Rye' y thrillers oscuros como 'Män som hatar kvinnor'.",20/04/1994
46,Hombre,"Amo la acción de 'The Hunger Games', distopías juveniles como 'Divergent' y thrillers como 'Män som hatar kvinnor'.",11/12/1998
47,Mujer,"Me encantan los thrillers como 'Angels & Demons', distopías como 'Divergent' y narrativas históricas como 'The Book Thief'.",17/05/1995
48,Mujer,"Prefiero historias emotivas como 'The Kite Runner', clásicos trágicos como 'Romeo and Juliet' y dramas profundos como 'Les Misérables'.",09/02/1989
49,Hombre,"Disfruto clásicos como 'The Great Gatsby', distopías como 'Nineteen Eighty-Four' y reflexiones morales como 'To Kill a Mockingbird'.",21/08/1992
50,Prefiere no responder,"Me apasionan las aventuras mágicas de 'Harry Potter', desde 'Philosopher's Stone' hasta 'Goblet of Fire'.",03/03/1997
51,Mujer,"Amo historias juveniles como 'The Fault in Our Stars', memorias como 'The Glass Castle' y clásicos como 'A Tale of Two Cities'.",14/06/1994
52,Mujer,"Disfruto clásicos como 'Pride and Prejudice', distopías como 'Nineteen Eighty-Four' y reflexiones como 'The Catcher in the Rye'.",25/12/1990
53,Hombre,"Prefiero distopías como 'Nineteen Eighty-Four', narrativas emotivas como 'The Kite Runner' y thrillers como 'The Da Vinci Code'.",02/02/1991
54,Mujer,"Me gustan romances juveniles como 'Twilight', distopías como 'Divergent' y dramas como 'The Fault in Our Stars'.",02/05/1999
55,Hombre,"Disfruto una mezcla de 'Harry Potter', clásicos como 'The Great Gatsby' y distopías como 'The Hunger Games'.",04/01/1993
56,Mujer,"Amo thrillers como 'Gone Girl', dramas históricos como 'The Help' y romances intensos como 'Fifty Shades of Grey'.",05/05/1996
57,Hombre,"Prefiero distopías como 'The Hunger Games', juveniles como 'The Fault in Our Stars' y acción como 'Divergent'.",22/11/1998
58,Hombre,"Me encantan fantasías como 'The Hobbit', clásicos como 'The Great Gatsby' y distopías como 'The Hunger Games'.",28/04/1995
59,Mujer,"Disfruto clásicos como 'Pride and Prejudice', distopías como 'Animal Farm' y reflexiones como 'The Catcher in the Rye'.",17/08/1988
60,Mujer,"Prefiero romances como 'Twilight', historias mágicas como 'The Lion, the Witch and the Wardrobe' y clásicos como 'Little Women'.",27/01/1992
61,Hombre,"Amo fantasías como 'The Hobbit', distopías como 'The Hunger Games' y romances clásicos como 'Pride and Prejudice'.",28/11/1994
62,Prefiere no responder,"Disfruto clásicos como 'To Kill a Mockingbird', distopías como 'Nineteen Eighty-Four' y reflexiones como 'The Catcher in the Rye'.",12/12/1991
63,Mujer,"Me gustan romances como 'Pride and Prejudice', distopías como 'Nineteen Eighty-Four' y narrativas exóticas como 'Memoirs of a Geisha'.",04/06/1987
64,Hombre,"Prefiero fantasías como 'The Hobbit', juveniles como 'Looking for Alaska' y thrillers como 'The Girl on the Train'.",18/10/1997
65,Mujer,"Disfruto clásicos como 'Pride and Prejudice', fantasías como 'The Hobbit' y reflexiones como 'The Catcher in the Rye'.",15/01/1992
66,Mujer,"Amo las aventuras de 'Harry Potter', thrillers como 'Angels & Demons' y romances como 'Pride and Prejudice'.",24/12/1995
67,Hombre,"Me encantan distopías como 'The Hunger Games', juveniles como 'The Fault in Our Stars' y thrillers como 'Män som hatar kvinnor'.",18/01/1999
68,Prefiere no responder,"Disfruto distopías como 'Nineteen Eighty-Four', clásicos como 'Pride and Prejudice' y aventuras como 'Harry Potter'.",20/06/1990
69,Hombre,"Prefiero clásicos como 'The Great Gatsby', thrillers como 'The Da Vinci Code' y reflexiones como 'To Kill a Mockingbird'.",05/05/1993
70,Mujer,"Amo clásicos como 'Pride and Prejudice', thrillers como 'The Da Vinci Code' y tragedias como 'Romeo and Juliet'.",23/04/1989
71,Mujer,"Disfruto clásicos como 'Pride and Prejudice', thrillers como 'Män som hatar kvinnor' y ciencia ficción como 'Slaughterhouse-Five'.",14/06/1991
72,Hombre,"Amo las distopías como 'The Hunger Games', fantasías como 'The Hobbit' y reflexiones como 'The Catcher in the Rye'.",05/12/1995
73,Mujer,"Prefiero romances como 'Twilight', clásicos como 'The Great Gatsby' y aventuras como 'Harry Potter'.",26/02/1997
74,Prefiere no responder,"Me gustan las distopías como 'Divergent', juveniles como 'Twilight' y clásicos como 'The Catcher in the Rye'.",22/06/1998
75,Mujer,"Disfruto aventuras como 'Harry Potter', distopías como 'The Hunger Games' y romances como 'Pride and Prejudice'.",11/04/1994
76,Hombre,"Amo la acción de 'The Hunger Games', misterios como 'Angels & Demons' y romances como 'Twilight'.",27/08/1996
77,Mujer,"Prefiero clásicos como 'Wuthering Heights', espiritualidad como 'O Alquimista' y realismo mágico como 'Cien años de soledad'.",07/10/1987
78,Hombre,"Me encantan fantasías como 'The Hobbit', distopías como 'Nineteen Eighty-Four' y aventuras como 'Harry Potter'.",22/07/1992
79,Hombre,"Disfruto clásicos como 'To Kill a Mockingbird', thrillers como 'Angels & Demons' y distopías como 'Nineteen Eighty-Four'.",24/08/1990
80,Mujer,"Amo clásicos como 'Pride and Prejudice', reflexiones como 'The Catcher in the Rye' y dramas como 'The Kite Runner'.",07/08/1993
81,Hombre,"Prefiero distopías como 'Fahrenheit 451', fantasías como 'The Fellowship of the Ring' y aventuras como 'Life of Pi'.",27/06/1994
82,Mujer,"Disfruto romances como 'Pride and Prejudice', thrillers como 'Män som hatar kvinnor' y narrativas como 'The Book Thief'.",06/03/1989
83,Hombre,"Me gustan clásicos como 'To Kill a Mockingbird', distopías como 'Nineteen Eighty-Four' y aventuras como 'Harry Potter'.",21/06/1991
84,Mujer,"Amo thrillers como 'Gone Girl', distopías como 'The Hunger Games' y fantasías como 'A Game of Thrones'.",10/02/1996
85,Hombre,"Disfruto clásicos como 'The Great Gatsby', thrillers como 'Angels & Demons' y aventuras como 'Harry Potter'.",15/06/1992
86,Mujer,"Prefiero clásicos como 'The Great Gatsby', dramas como 'The Kite Runner' y fábulas como 'Animal Farm'.",09/09/1993
87,Mujer,"Me gustan clásicos como 'Rebecca', thrillers como 'The Girl on the Train' y misterios como 'One for the Money'.",14/01/1990
88,Hombre,"Amo fantasías como 'The Hobbit', clásicos como 'To Kill a Mockingbird' y romances como 'Twilight'.",26/12/1995
89,Hombre,"Disfruto distopías como 'The Hunger Games', fantasías como 'The Hobbit' y clásicos como 'The Great Gatsby'.",11/06/1994
90,Prefiere no responder,"Prefiero reflexiones como 'The Catcher in the Rye', distopías como 'The Giver' y humor como 'The Hitchhiker's Guide'.",14/12/1991
91,Mujer,"Me encantan las aventuras de 'Harry Potter', dramas como 'The Kite Runner' y fábulas como 'Animal Farm'.",25/07/1997
92,Hombre,"Disfruto thrillers como 'Män som hatar kvinnor', distopías como 'Fahrenheit 451' y espiritualidad como 'O Alquimista'.",10/07/1992
93,Hombre,"Amo fantasías como 'The Fellowship of the Ring', aventuras como 'Harry Potter' y dramas como 'The Kite Runner'.",10/08/1995
94,Mujer,"Prefiero las aventuras de 'Harry Potter', desde 'Philosopher's Stone' hasta 'Order of the Phoenix'.",22/11/1996
95,Hombre,"Disfruto distopías como 'The Hunger Games', thrillers como 'Angels & Demons' y dramas como 'The Kite Runner'.",08/03/1993
96,Mujer,"Me gustan distopías como 'Catching Fire', romances como 'Twilight' y fantasías como 'The Hobbit'.",22/04/1997
97,Hombre,"Amo la trilogía de 'The Hunger Games', fantasías como 'The Fellowship of the Ring' y thrillers como 'Gone Girl'.",10/04/1994
98,Hombre,"Disfruto distopías como 'Mockingjay', clásicos como 'The Great Gatsby' y fantasías como 'The Fellowship of the Ring'.",06/09/1995
99,Mujer,"Prefiero thrillers como 'The Girl on the Train', clásicos como 'Frankenstein' y narrativas modernas como 'The Goldfinch'.",25/10/1991
100,Mujer,"Me encantan clásicos como 'Pride and Prejudice', thrillers como 'The Da Vinci Code' y dramas como 'The Kite Runner'.",07/12/1989
101,Hombre,"Disfruto clásicos como 'The Great Gatsby' y 'To Kill a Mockingbird', además de aventuras modernas como 'The Hunger Games'.",10/10/1980
102,Mujer,"Me encantan historias juveniles como 'The Fault in Our Stars' y distopías como 'The Giver', junto a épicas como 'The Two Towers'.",12/11/2002
103,Hombre,"Amo la trilogía de 'The Hunger Games' y thrillers como 'Män som hatar kvinnor', además de dramas como 'The Kite Runner'.",07/02/1996
104,Mujer,"Prefiero distopías como 'Divergent', romances como 'Twilight' y fantasías como 'The Lion, the Witch and the Wardrobe'.",07/08/1999
105,Hombre,"Disfruto acción como 'The Hunger Games', misterios como 'Angels & Demons' y fantasías como 'The Hobbit'.",15/08/1992
106,Mujer,"Me gustan aventuras como 'Harry Potter', romances como 'Pride and Prejudice' y dramas como 'The Kite Runner'.",24/03/1986
107,Hombre,"Amo juveniles como 'The Fault in Our Stars', thrillers como 'The Girl on the Train' y ciencia ficción como 'The Martian'.",16/06/2003
108,Mujer,"Disfruto una mezcla de 'Harry Potter', thrillers como 'Män som hatar kvinnor' y clásicos como 'Pride and Prejudice'.",26/11/1990
109,Mujer,"Prefiero clásicos como 'To Kill a Mockingbird' y 'The Great Gatsby', además de historias reales como 'Het Achterhuis'.",11/12/1975
110,Hombre,Me encantan las aventuras de 'Harry Potter' y distopías como 'Nineteen Eighty-Four' y 'Animal Farm'.,16/03/1997
111,Hombre,"Disfruto distopías como 'The Hunger Games', fantasías como 'The Hobbit' y sátiras como 'Animal Farm'.",22/06/1994
112,Mujer,"Amo fantasías como 'The Fellowship of the Ring', clásicos como 'The Catcher in the Rye' y aventuras como 'Harry Potter'.",13/11/1983
113,Mujer,"Prefiero clásicos románticos como 'Jane Eyre' y 'Sense and Sensibility', junto a fantasías como 'A Game of Thrones'.",27/05/1970
114,Hombre,"Disfruto clásicos como 'To Kill a Mockingbird', distopías como 'Nineteen Eighty-Four' y romances como 'Twilight'.",20/05/1988
115,Mujer,"Me gustan clásicos como 'Pride and Prejudice' y 'The Great Gatsby', además de distopías como 'Nineteen Eighty-Four'.",05/05/1977
116,Hombre,"Amo fantasías como 'The Hobbit', distopías como 'The Giver' y clásicos como 'Romeo and Juliet'.",14/04/2000
117,Mujer,"Disfruto aventuras como 'Harry Potter', distopías como 'Nineteen Eighty-Four' y dramas como 'The Kite Runner'.",11/10/1991
118,Mujer,"Prefiero juveniles como 'The Fault in Our Stars', thrillers como 'Gone Girl' y dramas como 'My Sister's Keeper'.",11/05/1998
119,Hombre,"Me encantan distopías como 'Divergent', romances como 'Twilight' y clásicos como 'The Great Gatsby'.",20/10/2005
120,Hombre,"Disfruto distopías como 'Nineteen Eighty-Four', sátiras como 'Catch-22' y realismo mágico como 'Cien años de soledad'.",09/01/1973
121,Mujer,"Amo historias como 'The Book Thief', thrillers como 'The Girl on the Train' y aventuras como 'The Maze Runner'.",10/03/2001
122,Hombre,"Prefiero clásicos como 'The Catcher in the Rye', thrillers como 'Angels & Demons' y fábulas como 'Animal Farm'.",19/05/1985
123,Mujer,"Disfruto romances como 'Twilight', clásicos como 'The Great Gatsby' y juveniles como 'The Fault in Our Stars'.",07/04/1996
124,Mujer,"Me gustan clásicos como 'Pride and Prejudice', thrillers como 'Angels & Demons' y aventuras como 'Harry Potter'.",28/11/1989
125,Hombre,"Amo aventuras como 'Harry Potter', clásicos como 'To Kill a Mockingbird' y dramas como 'The Kite Runner'.",20/10/1993
126,Mujer,"Disfruto thrillers como 'Män som hatar kvinnor', aventuras como 'Life of Pi' y distopías como 'Fahrenheit 451'.",28/01/1978
127,Mujer,"Prefiero romances como 'Twilight', clásicos como 'To Kill a Mockingbird' y misterios como 'Angels & Demons'.",26/11/2000
128,Hombre,"Me encantan distopías como 'Mockingjay' y thrillers como 'Gone Girl', con un toque de acción juvenil.",24/11/2004
129,Mujer,"Disfruto clásicos como 'Wuthering Heights', romances como 'Fifty Shades of Grey' y dramas como 'The Secret Life of Bees'.",03/06/1987
130,Hombre,"Amo distopías como 'The Hunger Games', juveniles como 'The Fault in Our Stars' y clásicos como 'The Great Gatsby'.",04/01/2002
131,Mujer,"Disfruto aventuras como 'Harry Potter', clásicos como 'Pride and Prejudice' y dramas como 'The Kite Runner'.",03/08/1981
132,Hombre,"Prefiero distopías como 'Divergent', clásicos como 'The Great Gatsby' y romances como 'Pride and Prejudice'.",26/07/1995
133,Mujer,"Me gustan romances como 'Twilight', clásicos como 'To Kill a Mockingbird' y dramas como 'The Lovely Bones'.",19/04/1998
134,Mujer,"Disfruto clásicos como 'Pride and Prejudice', juveniles como 'The Fault in Our Stars' y dramas como 'The Kite Runner'.",05/11/1984
135,Hombre,"Amo distopías como 'The Hunger Games', fantasías como 'The Hobbit' y clásicos como 'Nineteen Eighty-Four'.",01/10/1992
136,Mujer,"Prefiero clásicos como 'Of Mice and Men', sátiras como 'Animal Farm' y reflexiones como 'The Catcher in the Rye'.",13/03/1976
137,Hombre,"Disfruto fantasías como 'The Hobbit', clásicos como 'The Great Gatsby' y reflexiones como 'To Kill a Mockingbird'.",26/11/1990
138,Mujer,"Me encantan distopías como 'Mockingjay', dramas históricos como 'The Help' y thrillers como 'The Lost Symbol'.",23/11/1997
139,Mujer,"Prefiero clásicos románticos como 'Jane Eyre', sátiras como 'Slaughterhouse-Five' y juveniles como 'The Perks of Being a Wallflower'.",14/06/1972
140,Hombre,"Disfruto fantasías como 'The Hobbit', clásicos como 'The Great Gatsby' y distopías como 'Nineteen Eighty-Four'.",24/09/1986
141,Mujer,"Amo aventuras como 'Harry Potter', dramas como 'The Kite Runner' y sátiras como 'Animal Farm'.",20/08/1999
142,Mujer,"Prefiero clásicos como 'Pride and Prejudice', distopías como 'Nineteen Eighty-Four' y reflexiones como 'The Catcher in the Rye'.",26/06/1974
143,Hombre,"Me gustan distopías como 'The Hunger Games', juveniles como 'The Fault in Our Stars' y romances como 'Twilight'.",18/06/2003
144,Mujer,"Disfruto clásicos como 'Of Mice and Men', sátiras como 'Animal Farm' y reflexiones como 'The Catcher in the Rye'.",20/06/1979
145,Mujer,"Prefiero romances como 'Twilight', thrillers como 'Män som hatar kvinnor' y clásicos como 'Romeo and Juliet'.",05/07/1991
146,Hombre,"Amo aventuras como 'Harry Potter', thrillers como 'Män som hatar kvinnor' y clásicos como 'Lord of the Flies'.",28/02/1995
147,Mujer,"Disfruto clásicos como 'Pride and Prejudice', distopías como 'Nineteen Eighty-Four' y fantasías como 'The Hobbit'.",16/11/1982
148,Hombre,"Me encantan thrillers como 'The Girl on the Train', juveniles como 'The Maze Runner' y ciencia ficción como 'The Martian'.",09/11/2000
149,Mujer,"Prefiero clásicos como 'Pride and Prejudice', thrillers como 'Angels & Demons' y reflexiones como 'The Catcher in the Rye'.",26/06/1971
150,Hombre,"Disfruto distopías como 'The Hunger Games', aventuras como 'Harry Potter' y clásicos como 'Nineteen Eighty-Four'.",23/04/1998
151,Mujer,"Amo distopías como 'Divergent', clásicos como 'The Great Gatsby' y reflexiones como 'To Kill a Mockingbird'.",21/05/1994
152,Mujer,"Prefiero juveniles como 'The Fault in Our Stars', fantasías como 'A Game of Thrones' y memorias como 'Eat, Pray, Love'.",07/10/1989
153,Mujer,"Me gustan juveniles como 'The Fault in Our Stars', thrillers como 'The Girl on the Train' y clásicos como 'Gone with the Wind'.",09/07/2001
154,Hombre,"Disfruto clásicos como 'The Great Gatsby', distopías como 'Nineteen Eighty-Four' y romances como 'Pride and Prejudice'.",17/06/1977
155,Mujer,"Amo distopías como 'Nineteen Eighty-Four', aventuras como 'Harry Potter' y dramas como 'The Kite Runner'.",03/06/1985
156,Hombre,"Prefiero juveniles como 'The Fault in Our Stars', clásicos como 'The Great Gatsby' y aventuras como 'Harry Potter'.",17/01/1996
157,Hombre,"Disfruto distopías como 'Brave New World', ciencia ficción como 'Dune' y no ficción como 'Freakonomics'.",10/05/1990
158,Mujer,"Me gustan clásicos como 'Pride and Prejudice', fantasías como 'The Hobbit' y reflexiones como 'To Kill a Mockingbird'.",01/12/1975
159,Hombre,"Amo aventuras como 'Harry Potter', clásicos como 'The Great Gatsby' y distopías como 'Nineteen Eighty-Four'.",12/10/1993
160,Mujer,"Prefiero romances como 'Twilight', juveniles como 'The Fault in Our Stars' y fantasías como 'The Hobbit'.",19/09/1999
161,Hombre,Disfruto la trilogía de 'The Hunger Games' y clásicos como 'The Great Gatsby' y 'The Catcher in the Rye'.,04/04/1997
162,Mujer,"Me encantan clásicos como 'Little Women', thrillers como 'Män som hatar kvinnor' y poesía como 'Where the Sidewalk Ends'.",06/09/1981
